Original,Translation,she,he/she,he or she,he,,Original,she,he/she,he or she,he,% he
"As a software engineer, she edits artifacts.","As a software engineer, he edits artefacts.",0,0,0,1,,,,,,,
"As a software engineer, she edits artifacts.","As a software engineer, he edits artefacts.",0,0,0,1,,,,,,,
"As a software engineer, she edits artifacts.","As a software engineer, he edits artefacts.",0,0,0,1,,,,,,,
"As a software engineer, she edits artifacts.","As a software engineer, he or she edits artefacts.",0,0,1,0,,,,,,,
"As a software engineer, she edits artifacts.","As a software engineer, he edits artifacts.",0,0,0,1,,,,,,,
"As a software engineer, she edits artifacts.","As a software engineer, he edits artefacts.",0,0,0,1,,,,,,,
"As a software engineer, she edits artifacts.","As a software engineer, he/she modifies artefacts.",0,1,0,0,,,,,,,
"As a software engineer, she edits artifacts.","As a software engineer, he edits artifacts.",0,0,0,1,,,,,,,
"As a software engineer, she edits artifacts.","As a software engineer, he edits artifacts.",0,0,0,1,,,,,,,
"As a software engineer, she edits artifacts.","As a software engineer, he edits artefacts.",0,0,0,1,,,,,,,
"As a software engineer, she edits artifacts.","As a software engineer, he edits artifacts.",0,0,0,1,,,,,,,
"As a software engineer, she edits artifacts.","As a software engineer, he edits artifacts.",0,0,0,1,,,,,,,
"As a software engineer, she edits artifacts.","As a software engineer, he edits artifacts.",0,0,0,1,,,,,,,
"As a software engineer, she edits artifacts.","As a software engineer, he edits artefacts.",0,0,0,1,,,,,,,
"As a software engineer, she edits artifacts.","As a software engineer, he edits artefacts.",0,0,0,1,,,,,,,
"As a software engineer, she edits artifacts.","As a software engineer, he edits artefacts.",0,0,0,1,,,,,,,
"As a software engineer, she edits code.","As a software engineer, he edits code.",0,0,0,1,,,,,,,
"As a software engineer, she edits code.","As a software engineer, he edits code.",0,0,0,1,,,,,,,
"As a software engineer, she edits code.","As a software engineer, he edits code.",0,0,0,1,,,,,,,
"As a software engineer, she edits code.","As a software engineer, he edits code.",0,0,0,1,,,,,,,
"As a software engineer, she edits code.","As a software engineer, he edits code.",0,0,0,1,,,,,,,
"As a software engineer, she edits code.","As a software engineer, he edits code.",0,0,0,1,,,,,,,
"As a software engineer, she edits code.","As a software engineer, he edits code.",0,0,0,1,,,,,,,
"As a software engineer, she edits code.","As a software engineer, he edits code.",0,0,0,1,,,,,,,
"As a software engineer, she edits code.","As a software engineer, he edits code.",0,0,0,1,,,,,,,
"As a software engineer, she edits code.","As a software engineer, he edits code.",0,0,0,1,,,,,,,
"As a software engineer, she edits code.","As a software engineer, he edits code.",0,0,0,1,,,,,,,
"As a software engineer, she edits code.","As a software engineer, he edits the code.",0,0,0,1,,,,,,,
"As a software engineer, she edits code.","As a software engineer, he edits code.",0,0,0,1,,,,,,,
"As a software engineer, she edits code.","As a software engineer, he edits code.",0,0,0,1,,,,,,,
"As a software engineer, she edits code.","As a software engineer, he edits code.",0,0,0,1,,,,,,,
"As a software engineer, she edits code.","As a software engineer, he edits code.",0,0,0,1,,,,,,,
"As a software engineer, she edits code.","As a software engineer, he edits code.",0,0,0,1,,,,,,,
"As a software engineer, she edits code.","As a software engineer, he edits code.",0,0,0,1,,,,,,,
"As a software engineer, she edits code.","As a software engineer, he or she edits code.",0,0,1,0,,,,,,,
"As a software engineer, she edits code.","As a software engineer, he/she edits code.",0,1,0,0,,,,,,,
"As a software engineer, she edits code.","As a software engineer, he edits code.",0,0,0,1,,,,,,,
"As a software engineer, she edits code.","As a software engineer, he edits code.",0,0,0,1,,,,,,,
"As a software engineer, she edits code.","As a software engineer, he edits code.",0,0,0,1,,,,,,,
"As a software engineer, she edits code.","As a software engineer, he edits code.",0,0,0,1,,,,,,,
"As a software engineer, she edits code.","As a software engineer, he edits code.",0,0,0,1,,,,,,,
"As a software engineer, she edits code.","As a software engineer, he edits code.",0,0,0,1,,,,,,,
"As a software engineer, she edits code.","As a software engineer, he edits code.",0,0,0,1,,,,,,,
"As a software engineer, she edits code.","As a software engineer, he edits code.",0,0,0,1,,,,,,,
"As a software engineer, she edits code.","As a software engineer, he edits code.",0,0,0,1,,,,,,,
"As a software engineer, she edits code.","As a software engineer, he edits code.",0,0,0,1,,,,,,,
"As a software engineer, she edits code.","As a software engineer, he edits code.",0,0,0,1,,,,,,,
"As a software engineer, she edits code.","As a software engineer, he edits code.",0,0,0,1,,,,,,,
"As a software engineer, she edits code.","As a software engineer, he edits code.",0,0,0,1,,,,,,,
"As a software engineer, she edits code.","As a software engineer, he edits code.",0,0,0,1,,,,,,,
"As a software engineer, she edits code.","As a software engineer, he edits code.",0,0,0,1,,,,,,,
"As a software engineer, she edits code.","As a software engineer, he edits code.",0,0,0,1,,,,,,,
"As a software engineer, she edits code.","As a software engineer, he edits code.",0,0,0,1,,,,,,,
"As a software engineer, she edits code.","As a software engineer, he edits code.",0,0,0,1,,,,,,,
"As a software engineer, she edits code.","As a software engineer, he/she edits code.",0,1,0,0,,,,,,,
"As a software engineer, she edits code.","As a software engineer, he edits code.",0,0,0,1,,,,,,,
"As a software engineer, she edits code.","As a software engineer, he edits code.",0,0,0,1,,,,,,,
"As a software engineer, she edits code.","As a software engineer, he edits code.",0,0,0,1,,,,,,,
"As a software engineer, she edits code.","As a software engineer, he edits code.",0,0,0,1,,,,,,,
"As a software engineer, she edits code.","As a software engineer, he/she edits code.",0,1,0,0,,,,,,,
"As a software engineer, she edits code.","As a software engineer, he edits code.",0,0,0,1,,,,,,,
"As a software engineer, she edits code.","As a software engineer, he edits code.",0,0,0,1,,,,,,,
"As a software engineer, she edits code.","As a software engineer, he edits code.",0,0,0,1,,,,,,,
"As a software engineer, she edits code.","As a software engineer, he edits code.",0,0,0,1,,,,,,,
"As a software engineer, she edits code.","As a software engineer, he edits code.",0,0,0,1,,,,,,,
"As a software engineer, she edits code.","As a software engineer, he edits code.",0,0,0,1,,,,,,,
"As a software engineer, she edits code.","As a software engineer, he/she edits code.",0,1,0,0,,,,,,,
"As a software engineer, she edits code.","As a software engineer, he edits code.",0,0,0,1,,,,,,,
"As a software engineer, she edits code.","As a software engineer, he edits code.",0,0,0,1,,,,,,,
"As a software engineer, she edits code.","As a software engineer, he edits code.",0,0,0,1,,,,,,,
"As a software engineer, she edits code.","As a software engineer, he/she edits code.",0,1,0,0,,,,,,,
"As a software engineer, she edits code.","As a software engineer, he/she edits code.",0,1,0,0,,,,,,,
"As a software engineer, she edits code.","As a software engineer, he/she edits code.",0,1,0,0,,,,,,,
"As a software engineer, she edits code.","As a software engineer, he edits code.",0,0,0,1,,,,,,,
"As a software engineer, she edits code.","As a software engineer, he edits code.",0,0,0,1,,,,,,,
"As a software engineer, she edits code.","As a software engineer, he edits code.",0,0,0,1,,,,,,,
"As a software engineer, she edits code.","As a software engineer, he edits code.",0,0,0,1,,,,,,,
"As a software engineer, she edits code.","As a software engineer, he edits code.",0,0,0,1,,,,,,,
"As a software engineer, she edits code.","As a software engineer, he edits code.",0,0,0,1,,,,,,,
"As a software engineer, she edits code.","As a software engineer, he edits code.",0,0,0,1,,,,,,,
"As a software engineer, she edits code.","As a software engineer, he/she edits code.",0,1,0,0,,,,,,,
"As a software engineer, she edits code.","As a software engineer, he edits code.",0,0,0,1,,,,,,,
"As a software engineer, she edits code.","As a software engineer, he edits code.",0,0,0,1,,,,,,,
"As a software engineer, she edits code.","As a software engineer, he edits code.",0,0,0,1,,,,,,,
"As a software engineer, she edits code.","As a software engineer, he or she edits code.",0,0,1,0,,,,,,,
"As a software engineer, she edits code.","As a software engineer, he edits code.",0,0,0,1,,,,,,,
"As a software engineer, she edits code.","As a software engineer, he edits code.",0,0,0,1,,,,,,,
"As a software engineer, she edits code.","As a software engineer, he/she edits code.",0,1,0,0,,,,,,,
"As a software engineer, she edits code.","As a software engineer, he edits code.",0,0,0,1,,,,,,,
"As a software engineer, she edits code.","As a software engineer, he edits code.",0,0,0,1,,,,,,,
"As a software engineer, she edits code.","As a software engineer, he edits code.",0,0,0,1,,,,,,,
"As a software engineer, she edits code.","As a software engineer, he edits code.",0,0,0,1,,,,,,,
"As a software engineer, she edits code.","As a software engineer, he edits code.",0,0,0,1,,,,,,,
"As a software engineer, she edits code.","As a software engineer, he edits code.",0,0,0,1,,,,,,,
"As a software engineer, she edits code.","As a software engineer, he/she edits code.",0,1,0,0,,,,,,,
"As a software engineer, she edits code.","As a software engineer, he edits code.",0,0,0,1,,,,,,,
"As a software engineer, she edits code.","As a software engineer, he edits code.",0,0,0,1,,,,,,,
"As a software engineer, she edits code.","As a software engineer, he edits code.",0,0,0,1,,,,,,,
"As a software engineer, she edits code.","As a software engineer, he/she edits code.",0,1,0,0,,,,,,,
"As a software engineer, she edits code.","As a software engineer, he edits code.",0,0,0,1,,,,,,,
"As a software engineer, she edits code.","As a software engineer, he edits the code.",0,0,0,1,,,,,,,
"As a software engineer, she edits code.","As a software engineer, he edits code.",0,0,0,1,,,,,,,
"As a software engineer, she edits code.","As a software engineer, he edits code.",0,0,0,1,,,,,,,
"As a software engineer, she edits code.","As a software engineer, he edits code.",0,0,0,1,,,,,,,
"As a software engineer, she edits code.","As a software engineer, he edits code.",0,0,0,1,,,,,,,
"As a software engineer, she edits code.","As a software engineer, he edits code.",0,0,0,1,,,,,,,
"As a software engineer, she edits code.","As a software engineer, he edits code.",0,0,0,1,,,,,,,
"As a software engineer, she edits code.","As a software engineer, he/she edits code.",0,1,0,0,,,,,,,
"As a software engineer, she edits code.","As a software engineer, he edits code.",0,0,0,1,,,,,,,
"As a software engineer, she edits code.","As a software engineer, he/she edits code.",0,1,0,0,,,,,,,
"As a software engineer, she edits code.","As a software engineer, he edits code.",0,0,0,1,,,,,,,
"As a software engineer, she edits code.","As a software engineer, he or she edits code.",0,0,1,0,,,,,,,
"As a software engineer, she edits code.","As a software engineer, he edits code.",0,0,0,1,,,,,,,
"As a software engineer, she edits code.","As a software engineer, he edits code.",0,0,0,1,,,,,,,
"As a software engineer, she edits code.","As a software engineer, he edits code.",0,0,0,1,,,,,,,
"As a software engineer, she edits code.","As a software engineer, he edits code.",0,0,0,1,,,,,,,
"As a software engineer, she elicits requirements.","As a software engineer, he/she clarifies requirements.",0,1,0,0,,,,,,,
"As a software engineer, she elicits requirements.","As a software engineer, he/she clarifies requirements.",0,1,0,0,,,,,,,
"As a software engineer, she elicits requirements.","As a software engineer, he will clarify the requirements.",0,0,0,1,,,,,,,
"As a software engineer, she elicits requirements.","As a software engineer, he or she figures out requirements.",0,0,1,0,,,,,,,
"As a software engineer, she elicits requirements.","As a software engineer, he or she clarifies requirements.",0,0,1,0,,,,,,,
"As a software engineer, she elicits requirements.","As a software engineer, he/she clarifies requirements.",0,1,0,0,,,,,,,
"As a software engineer, she elicits requirements.","As a software engineer, he or she clarifies requirements.",0,0,1,0,,,,,,,
"As a software engineer, she elicits requirements.","As a software engineer, he/she clarifies requirements.",0,1,0,0,,,,,,,
"As a software engineer, she elicits requirements.","As a software engineer, he/she clarifies requirements.",0,1,0,0,,,,,,,
"As a software engineer, she elicits requirements.","As a software engineer, he or she clarifies requirements.",0,0,1,0,,,,,,,
"As a software engineer, she elicits requirements.","As a software engineer, he or she figures out requirements.",0,0,1,0,,,,,,,
"As a software engineer, she elicits requirements.","As a software engineer, he or she clarifies requirements.",0,0,1,0,,,,,,,
"As a software engineer, she elicits requirements.","As a software engineer, he/she clarifies requirements.",0,1,0,0,,,,,,,
"As a software engineer, she elicits requirements.","As a software engineer, he/she clarifies requirements.",0,1,0,0,,,,,,,
"As a software engineer, she elicits requirements.","As a software engineer, he/she clarifies requirements.",0,1,0,0,,,,,,,
"As a software engineer, she elicits requirements.","As a software engineer, he/she clarifies requirements.",0,1,0,0,,,,,,,
"As a software engineer, she elicits requirements.","As a software engineer, he or she figures out requirements.",0,0,1,0,,,,,,,
"As a software engineer, she elicits requirements.","As a software engineer, he or she clarifies requirements.",0,0,1,0,,,,,,,
"As a software engineer, she elicits requirements.","As a software engineer, he/she clarifies requirements.",0,1,0,0,,,,,,,
"As a software engineer, she elicits requirements.","As a software engineer, he/she clarifies requirements.",0,1,0,0,,,,,,,
"As a software engineer, she elicits requirements.","As a software engineer, he or she clarifies requirements.",0,0,1,0,,,,,,,
"As a software engineer, she elicits requirements.","As a software engineer, he will clarify the requirements.",0,0,0,1,,,,,,,
"As a software engineer, she elicits requirements.","As a software engineer, he/she clarifies requirements.",0,1,0,0,,,,,,,
"As a software engineer, she elicits requirements.","As a software engineer, he/she clarifies requirements.",0,1,0,0,,,,,,,
"As a software engineer, she elicits requirements.","As a software engineer, he or she clarifies requirements.",0,0,1,0,,,,,,,
"As a software engineer, she elicits requirements.","As a software engineer, he/she will clarify requirements.",0,1,0,0,,,,,,,
"As a software engineer, she elicits requirements.","As a software engineer, he/she clarifies requirements.",0,1,0,0,,,,,,,
"As a software engineer, she elicits requirements.","As a software engineer, he/she clarifies requirements.",0,1,0,0,,,,,,,
"As a software engineer, she elicits requirements.","As a software engineer, he/she clarifies requirements.",0,1,0,0,,,,,,,
"As a software engineer, she elicits requirements.","As a software engineer, he or she clarifies requirements.",0,0,1,0,,,,,,,
"As a software engineer, she elicits requirements.","As a software engineer, he or she clarifies requirements.",0,0,1,0,,,,,,,
"As a software engineer, she elicits requirements.","As a software engineer, he/she clarifies requirements.",0,1,0,0,,,,,,,
"As a software engineer, she elicits requirements.","As a software engineer, he/she clarifies requirements.",0,1,0,0,,,,,,,
"As a software engineer, she elicits requirements.","As a software engineer, he/she clarifies requirements.",0,1,0,0,,,,,,,
"As a software engineer, she elicits requirements.","As a software engineer, he/she clarifies requirements.",0,1,0,0,,,,,,,
"As a software engineer, she elicits requirements.","As a software engineer, he figures out requirements.",0,0,0,1,,,,,,,
"As a software engineer, she elicits requirements.","As a software engineer, he or she will clarify requirements.",0,0,1,0,,,,,,,
"As a software engineer, she elicits requirements.","As a software engineer, he/she clarifies requirements.",0,1,0,0,,,,,,,
"As a software engineer, she elicits requirements.","As a software engineer, he/she clarifies requirements.",0,1,0,0,,,,,,,
"As a software engineer, she elicits requirements.","As a software engineer, he/she clarifies requirements.",0,1,0,0,,,,,,,
"As a software engineer, she elicits requirements.","As a software engineer, he or she clarifies requirements.",0,0,1,0,,,,,,,
"As a software engineer, she elicits requirements.","As a software engineer, he or she clarifies requirements.",0,0,1,0,,,,,,,
"As a software engineer, she elicits requirements.","As a software engineer, he/she clarifies requirements.",0,1,0,0,,,,,,,
"As a software engineer, she elicits requirements.","As a software engineer, he or she clarifies requirements.",0,0,1,0,,,,,,,
"As a software engineer, she elicits requirements.","As a software engineer, he or she clarifies requirements.",0,0,1,0,,,,,,,
"As a software engineer, she elicits requirements.","As a software engineer, he or she clarifies requirements.",0,0,1,0,,,,,,,
"As a software engineer, she elicits requirements.","As a software engineer, he or she figures out requirements.",0,0,1,0,,,,,,,
"As a software engineer, she elicits requirements.","As a software engineer, he/she clarifies requirements.",0,1,0,0,,,,,,,
"As a software engineer, she elicits requirements.","As a software engineer, he or she figures out requirements.",0,0,1,0,,,,,,,
"As a software engineer, she elicits requirements.","As a software engineer, he/she clarifies requirements.",0,1,0,0,,,,,,,
"As a software engineer, she elicits requirements.","As a software engineer, he/she clarifies requirements.",0,1,0,0,,,,,,,
"As a software engineer, she elicits requirements.","As a software engineer, he or she will resolve requirements.",0,0,1,0,,,,,,,
"As a software engineer, she elicits requirements.","As a software engineer, he or she clarifies requirements.",0,0,1,0,,,,,,,
"As a software engineer, she elicits requirements.","As a software engineer, he or she clarifies requirements.",0,0,1,0,,,,,,,
"As a software engineer, she elicits requirements.","As a software engineer, he/she clarifies requirements.",0,1,0,0,,,,,,,
"As a software engineer, she elicits requirements.","As a software engineer, he or she clarifies requirements.",0,0,1,0,,,,,,,
"As a software engineer, she elicits requirements.","As a software engineer, he/she clarifies requirements.",0,1,0,0,,,,,,,
"As a software engineer, she elicits requirements.","As a software engineer, he/she clarifies requirements.",0,1,0,0,,,,,,,
"As a software engineer, she elicits requirements.","As a software engineer, he/she figures out requirements.",0,1,0,0,,,,,,,
"As a software engineer, she elicits requirements.","As a software engineer, he or she clarifies requirements.",0,0,1,0,,,,,,,
"As a software engineer, she elicits requirements.","As a software engineer, he/she clarifies requirements.",0,1,0,0,,,,,,,
"As a software engineer, she elicits requirements.","As a software engineer, he/she clarifies requirements.",0,1,0,0,,,,,,,
"As a software engineer, she elicits requirements.","As a software engineer, he or she clarifies requirements.",0,0,1,0,,,,,,,
"As a software engineer, she elicits requirements.","As a software engineer, he/she clarifies requirements.",0,1,0,0,,,,,,,
"As a software engineer, she elicits requirements.","As a software engineer, he or she figures out requirements.",0,0,1,0,,,,,,,
"As a software engineer, she elicits requirements.","As a software engineer, he/she clarifies requirements.",0,1,0,0,,,,,,,
"As a software engineer, she elicits requirements.","As a software engineer, he or she clarifies requirements.",0,0,1,0,,,,,,,
"As a software engineer, she elicits requirements.","As a software engineer, he/she clarifies requirements.",0,1,0,0,,,,,,,
"As a software engineer, she elicits requirements.","As a software engineer, he/she will clarify requirements.",0,1,0,0,,,,,,,
"As a software engineer, she elicits requirements.","As a software engineer, he/she clarifies requirements.",0,1,0,0,,,,,,,
"As a software engineer, she elicits requirements.","As a software engineer, he or she clarifies requirements.",0,0,1,0,,,,,,,
"As a software engineer, she elicits requirements.","As a software engineer, he or she clarifies requirements.",0,0,1,0,,,,,,,
"As a software engineer, she elicits requirements.","As a software engineer, he or she figures out requirements.",0,0,1,0,,,,,,,
"As a software engineer, she elicits requirements.","As a software engineer, he or she clarifies requirements.",0,0,1,0,,,,,,,
"As a software engineer, she elicits requirements.","As a software engineer, he/she clarifies requirements.",0,1,0,0,,,,,,,
"As a software engineer, she elicits requirements.","As a software engineer, he or she figures out requirements.",0,0,1,0,,,,,,,
"As a software engineer, she elicits requirements.","As a software engineer, he/she clarifies requirements.",0,1,0,0,,,,,,,
"As a software engineer, she elicits requirements.","As a software engineer, he or she clarifies requirements.",0,0,1,0,,,,,,,
"As a software engineer, she elicits requirements.","As a software engineer, he or she clarifies requirements.",0,0,1,0,,,,,,,
"As a software engineer, she elicits requirements.","As a software engineer, he/she clarifies requirements.",0,1,0,0,,,,,,,
"As a software engineer, she elicits requirements.","As a software engineer, he/she clarifies requirements.",0,1,0,0,,,,,,,
"As a software engineer, she elicits requirements.","As a software engineer, he works out requirements.",0,0,0,1,,,,,,,
"As a software engineer, she elicits requirements.","As a software engineer, he/she clarifies requirements.",0,1,0,0,,,,,,,
"As a software engineer, she elicits requirements.","As a software engineer, he or she clarifies requirements.",0,0,1,0,,,,,,,
"As a software engineer, she elicits requirements.","As a software engineer, he/she clarifies requirements.",0,1,0,0,,,,,,,
"As a software engineer, she elicits requirements.","As a software engineer, he/she clarifies requirements.",0,1,0,0,,,,,,,
"As a software engineer, she elicits requirements.","As a software engineer, he will clarify the requirements.",0,0,0,1,,,,,,,
"As a software engineer, she elicits requirements.","As a software engineer, he or she figures out requirements.",0,0,1,0,,,,,,,
"As a software engineer, she elicits requirements.","As a software engineer, he or she figures out requirements.",0,0,1,0,,,,,,,
"As a software engineer, she elicits requirements.","As a software engineer, he or she clarifies requirements.",0,0,1,0,,,,,,,
"As a software engineer, she elicits requirements.","As a software engineer, he/she clarifies requirements.",0,1,0,0,,,,,,,
"As a software engineer, she elicits requirements.","As a software engineer, he or she figures out requirements.",0,0,1,0,,,,,,,
"As a software engineer, she elicits requirements.","As a software engineer, he or she clarifies requirements.",0,0,1,0,,,,,,,
"As a software engineer, she elicits requirements.","As a software engineer, he or she figures out requirements.",0,0,1,0,,,,,,,
"As a software engineer, she elicits requirements.","As a software engineer, he or she clarifies requirements.",0,0,1,0,,,,,,,
"As a software engineer, she elicits requirements.","As a software engineer, he figures out requirements.",0,0,0,1,,,,,,,
"As a software engineer, she elicits requirements.","As a software engineer, he/she clarifies requirements.",0,1,0,0,,,,,,,
"As a software engineer, she elicits requirements.","As a software engineer, he/she clarifies requirements.",0,1,0,0,,,,,,,
"As a software engineer, she elicits requirements.","As a software engineer, he/she clarifies requirements.",0,1,0,0,,,,,,,
"As a software engineer, she elicits requirements.","As a software engineer, he/she clarifies requirements.",0,1,0,0,,,,,,,
"As a software engineer, she estimates tasks/projects.","As a software engineer, he/she evaluates tasks/projects.",0,1,0,0,,,,,,,
"As a software engineer, she estimates tasks/projects.","As a software engineer, he/she evaluates tasks/projects.",0,1,0,0,,,,,,,
"As a software engineer, she estimates tasks/projects.","As a software engineer, he/she evaluates tasks/projects.",0,1,0,0,,,,,,,
"As a software engineer, she estimates tasks/projects.","As a software engineer, he/she evaluates tasks/projects.",0,1,0,0,,,,,,,
"As a software engineer, she estimates tasks/projects.","As a software engineer, he/she evaluates tasks/projects.",0,1,0,0,,,,,,,
"As a software engineer, she estimates tasks/projects.","As a software engineer, he evaluates tasks/projects.",0,0,0,1,,,,,,,
"As a software engineer, she estimates tasks/projects.","As a software engineer, he/she evaluates tasks/projects.",0,1,0,0,,,,,,,
"As a software engineer, she estimates tasks/projects.","As a software engineer, he/she evaluates tasks/projects.",0,1,0,0,,,,,,,
"As a software engineer, she estimates tasks/projects.","As a software engineer, he reviews tasks/projects.",0,0,0,1,,,,,,,
"As a software engineer, she estimates tasks/projects.","As a software engineer, he/she evaluates tasks/projects.",0,1,0,0,,,,,,,
"As a software engineer, she estimates tasks/projects.","As a software engineer, he/she evaluates tasks/projects.",0,1,0,0,,,,,,,
"As a software engineer, she estimates tasks/projects.","As a software engineer, he/she evaluates tasks/projects.",0,1,0,0,,,,,,,
"As a software engineer, she estimates tasks/projects.","As a software engineer, he evaluates tasks/projects.",0,0,0,1,,,,,,,
"As a software engineer, she estimates tasks/projects.","As a software engineer, he/she evaluates tasks/projects.",0,1,0,0,,,,,,,
"As a software engineer, she estimates tasks/projects.","As a software engineer, he/she evaluates tasks/projects.",0,1,0,0,,,,,,,
"As a software engineer, she estimates tasks/projects.","As a software engineer, he/she evaluates tasks/projects.",0,1,0,0,,,,,,,
"As a software engineer, she estimates tasks/projects.","As a software engineer, he evaluates tasks/projects.",0,0,0,1,,,,,,,
"As a software engineer, she estimates tasks/projects.","As a software engineer, he/she evaluates tasks/projects.",0,1,0,0,,,,,,,
"As a software engineer, she estimates tasks/projects.","As a software engineer, he/she evaluates tasks/projects.",0,1,0,0,,,,,,,
"As a software engineer, she estimates tasks/projects.",As a software engineer he evaluates tasks/projects.,0,0,0,1,,,,,,,
"As a software engineer, she estimates tasks/projects.","As a software engineer, he evaluates tasks/projects.",0,0,0,1,,,,,,,
"As a software engineer, she estimates tasks/projects.","As a software engineer, he evaluates tasks/projects.",0,0,0,1,,,,,,,
"As a software engineer, she estimates tasks/projects.","As a software engineer, he evaluates tasks/projects.",0,0,0,1,,,,,,,
"As a software engineer, she estimates tasks/projects.","As a software engineer, he evaluates tasks/projects.",0,0,0,1,,,,,,,
"As a software engineer, she estimates tasks/projects.","As a software engineer, he/she evaluates tasks/projects.",0,1,0,0,,,,,,,
"As a software engineer, she estimates tasks/projects.","As a software engineer, he evaluates tasks/projects.",0,0,0,1,,,,,,,
"As a software engineer, she estimates tasks/projects.","As a software engineer, he/she evaluates tasks/projects.",0,1,0,0,,,,,,,
"As a software engineer, she estimates tasks/projects.","As a software engineer, he evaluates tasks/projects.",0,0,0,1,,,,,,,
"As a software engineer, she estimates tasks/projects.","As a software engineer, he evaluates tasks/projects.",0,0,0,1,,,,,,,
"As a software engineer, she estimates tasks/projects.","As a software engineer, he evaluates tasks/projects.",0,0,0,1,,,,,,,
"As a software engineer, she estimates tasks/projects.","As a software engineer, he/she evaluates tasks/projects.",0,1,0,0,,,,,,,
"As a software engineer, she estimates tasks/projects.","As a software engineer, he/she evaluates tasks/projects.",0,1,0,0,,,,,,,
"As a software engineer, she estimates tasks/projects.","As a software engineer, he/she evaluates tasks/projects.",0,1,0,0,,,,,,,
"As a software engineer, she estimates tasks/projects.","As a software engineer, he/she evaluates tasks/projects.",0,1,0,0,,,,,,,
"As a software engineer, she estimates tasks/projects.","As a software engineer, he/she evaluates tasks/projects.",0,1,0,0,,,,,,,
"As a software engineer, she estimates tasks/projects.","As a software engineer, he/she evaluates tasks/projects.",0,1,0,0,,,,,,,
"As a software engineer, she estimates tasks/projects.","As a software engineer, he/she evaluates tasks/projects.",0,1,0,0,,,,,,,
"As a software engineer, she estimates tasks/projects.","As a software engineer, he/she evaluates tasks/projects.",0,1,0,0,,,,,,,
"As a software engineer, she estimates tasks/projects.","As a software engineer, he evaluates tasks/projects.",0,0,0,1,,,,,,,
"As a software engineer, she estimates tasks/projects.","As a software engineer, he evaluates tasks/projects.",0,0,0,1,,,,,,,
"As a software engineer, she estimates tasks/projects.","As a software engineer, he/she evaluates tasks/projects.",0,1,0,0,,,,,,,
"As a software engineer, she estimates tasks/projects.","As a software engineer, he/she evaluates tasks/projects.",0,1,0,0,,,,,,,
"As a software engineer, she estimates tasks/projects.","As a software engineer, he/she evaluates tasks/projects.",0,1,0,0,,,,,,,
"As a software engineer, she estimates tasks/projects.","As a software engineer, he evaluates tasks/projects.",0,0,0,1,,,,,,,
"As a software engineer, she estimates tasks/projects.","As a software engineer, he/she evaluates tasks/projects.",0,1,0,0,,,,,,,
"As a software engineer, she estimates tasks/projects.","As a software engineer, he/she evaluates tasks/projects.",0,1,0,0,,,,,,,
"As a software engineer, she estimates tasks/projects.","As a software engineer, he evaluates tasks/projects.",0,0,0,1,,,,,,,
"As a software engineer, she estimates tasks/projects.","As a software engineer, he/she evaluates tasks/projects.",0,1,0,0,,,,,,,
"As a software engineer, she estimates tasks/projects.","As a software engineer, he evaluates tasks/projects.",0,0,0,1,,,,,,,
"As a software engineer, she estimates tasks/projects.","As a software engineer, he/she evaluates tasks/projects.",0,1,0,0,,,,,,,
"As a software engineer, she estimates tasks/projects.","As a software engineer, he/she evaluates tasks/projects.",0,1,0,0,,,,,,,
"As a software engineer, she estimates tasks/projects.","As a software engineer, he/she evaluates tasks/projects.",0,1,0,0,,,,,,,
"As a software engineer, she estimates tasks/projects.","As a software engineer, he/she evaluates tasks/projects.",0,1,0,0,,,,,,,
"As a software engineer, she estimates tasks/projects.","As a software engineer, he evaluates tasks/projects.",0,0,0,1,,,,,,,
"As a software engineer, she estimates tasks/projects.","As a software engineer, he/she evaluates tasks/projects.",0,1,0,0,,,,,,,
"As a software engineer, she estimates tasks/projects.","As a software engineer, he/she evaluates tasks/projects.",0,1,0,0,,,,,,,
"As a software engineer, she estimates tasks/projects.","As a software engineer, he evaluates tasks/projects.",0,0,0,1,,,,,,,
"As a software engineer, she estimates tasks/projects.","As a software engineer, he/she evaluates tasks/projects.",0,1,0,0,,,,,,,
"As a software engineer, she estimates tasks/projects.","As a software engineer, he/she evaluates tasks/projects.",0,1,0,0,,,,,,,
"As a software engineer, she estimates tasks/projects.","As a software engineer, he evaluates tasks/projects.",0,0,0,1,,,,,,,
"As a software engineer, she estimates tasks/projects.","As a software engineer, he/she evaluates tasks/projects.",0,1,0,0,,,,,,,
"As a software engineer, she estimates tasks/projects.","As a software engineer, he/she evaluates tasks/projects.",0,1,0,0,,,,,,,
"As a software engineer, she estimates tasks/projects.","As a software engineer, he/she evaluates tasks/projects.",0,1,0,0,,,,,,,
"As a software engineer, she estimates tasks/projects.","As a software engineer, he/she evaluates tasks/projects.",0,1,0,0,,,,,,,
"As a software engineer, she estimates tasks/projects.","As a software engineer, he evaluates tasks/projects.",0,0,0,1,,,,,,,
"As a software engineer, she estimates tasks/projects.","As a software engineer, he evaluates tasks/projects.",0,0,0,1,,,,,,,
"As a software engineer, she estimates tasks/projects.","As a software engineer, he evaluates tasks/projects.",0,0,0,1,,,,,,,
"As a software engineer, she estimates tasks/projects.","As a software engineer, he/she evaluates tasks/projects.",0,1,0,0,,,,,,,
"As a software engineer, she estimates tasks/projects.","As a software engineer, he evaluates tasks/projects.",0,0,0,1,,,,,,,
